NAME,novehicle,onevehicle,twovehicle,threevehicle,medianincome
"Census Tract 401, Cook County, Illinois",276,923,451,97,132625
"Census Tract 402.01, Cook County, Illinois",556,1512,762,223,92924
"Census Tract 402.02, Cook County, Illinois",809,1254,627,69,52681
"Census Tract 403, Cook County, Illinois",54,588,329,99,83250
"Census Tract 404.01, Cook County, Illinois",162,709,435,74,109632
"Census Tract 404.02, Cook County, Illinois",510,1461,418,12,145530
"Census Tract 406, Cook County, Illinois",280,697,203,9,134531
"Census Tract 407, Cook County, Illinois",483,694,358,38,150208
"Census Tract 408, Cook County, Illinois",150,469,128,46,114500
"Census Tract 409, Cook County, Illinois",419,409,216,9,175341
"Census Tract 4101, Cook County, Illinois",623,558,104,0,102260
"Census Tract 4102, Cook County, Illinois",321,325,71,23,79792
"Census Tract 4105, Cook County, Illinois",472,566,300,30,114063
"Census Tract 4106, Cook County, Illinois",562,474,124,22,124583
"Census Tract 4107, Cook County, Illinois",407,504,104,0,86771
"Census Tract 4108, Cook County, Illinois",920,699,104,0,79431
"Census Tract 4109, Cook County, Illinois",519,991,223,7,133370
"Census Tract 4110, Cook County, Illinois",1135,991,80,0,94044
"Census Tract 4111, Cook County, Illinois",271,510,84,10,159063
"Census Tract 4112, Cook County, Illinois",233,396,147,11,"250,000+"
"Census Tract 4201, Cook County, Illinois",463,243,105,18,28125
"Census Tract 4202, Cook County, Illinois",306,212,104,15,70000
"Census Tract 4203, Cook County, Illinois",309,305,64,19,47000
"Census Tract 4204, Cook County, Illinois",336,264,23,29,30638
"Census Tract 4205, Cook County, Illinois",342,451,83,3,35703
"Census Tract 4206, Cook County, Illinois",358,489,84,11,32500
"Census Tract 4207, Cook County, Illinois",392,527,157,29,29271
"Census Tract 4208, Cook County, Illinois",275,458,136,29,54958
"Census Tract 4212, Cook County, Illinois",199,167,56,17,43578
"Census Tract 4301.01, Cook County, Illinois",691,692,97,61,35087
"Census Tract 4301.02, Cook County, Illinois",778,1214,238,60,49500
"Census Tract 4302, Cook County, Illinois",1468,564,257,165,34957
"Census Tract 4303, Cook County, Illinois",392,358,120,15,25781
"Census Tract 4304, Cook County, Illinois",431,624,107,61,47628
"Census Tract 4305, Cook County, Illinois",930,634,121,22,20866
"Census Tract 4306, Cook County, Illinois",333,254,137,80,75144
"Census Tract 4307, Cook County, Illinois",619,643,143,16,41066
"Census Tract 4308, Cook County, Illinois",168,376,136,44,69375
"Census Tract 4309, Cook County, Illinois",280,331,169,37,62222
"Census Tract 4312, Cook County, Illinois",278,669,248,40,63625
"Census Tract 4313.01, Cook County, Illinois",673,528,193,49,38633
"Census Tract 4313.02, Cook County, Illinois",724,436,142,70,35270
"Census Tract 4314, Cook County, Illinois",1529,1406,305,0,33457
"Census Tract 4401.01, Cook County, Illinois",1281,725,205,0,25139
"Census Tract 4401.02, Cook County, Illinois",526,960,181,110,57772
"Census Tract 4402.01, Cook County, Illinois",1066,903,382,128,-
"Census Tract 4402.02, Cook County, Illinois",475,758,257,44,53871
"Census Tract 4403, Cook County, Illinois",362,849,560,242,89821
"Census Tract 4406, Cook County, Illinois",34,331,264,71,68385
