id,name,novehicle,onevehicle,twovehicle,threevehicle,medianincome,houseunits,average_vehicles
"222",Census Tract 1904.01,"98","455","500","273","64574","1326","1.7149321266968327"
"223",Census Tract 1904.02,"155","729","638","260","71591","1782","1.5628507295173961"
"224",Census Tract 1906.01,"84","227","511","266","58333","1088","1.881433823529412"
"225",Census Tract 1906.02,"180","629","556","166","67237","1531","1.4624428478118876"
"226",Census Tract 1907.01,"95","280","333","74","75729","782","1.4936061381074168"
"227",Census Tract 1907.02,"176","724","356","178","48455","1434","1.3737796373779636"
"228",Census Tract 1908,"362","476","779","300","64387","1917","1.5305164319248825"
"229",Census Tract 1909,"118","192","212","98","80375","620","1.467741935483871"
"230",Census Tract 1910,"61","277","207","201","87404","746","1.7345844504021448"
"231",Census Tract 1911,"323","801","606","160","53058","1890","1.319047619047619"
"232",Census Tract 1912,"180","420","337","135","53306","1072","1.398320895522388"
"233",Census Tract 1913.01,"350","423","490","418","85213","1681","1.5806067816775728"
"234",Census Tract 1913.02,"253","358","292","359","56295","1262","1.5998415213946118"
"235",Census Tract 2001,"175","409","552","112","85521","1248","1.4815705128205128"
"236",Census Tract 2002,"193","555","539","303","62011","1590","1.59874213836478"
"237",Census Tract 2003,"67","333","129","114","94087","643","1.4510108864696734"
"238",Census Tract 2004.01,"120","308","389","132","57941","949","1.5616438356164384"
"239",Census Tract 2004.02,"72","469","292","398","55583","1231","1.825345247766044"
"240",Census Tract 2101,"207","757","571","130","95244","1665","1.3747747747747747"
"241",Census Tract 2104,"160","345","237","58","44643","800","1.24125"
"242",Census Tract 2105.01,"351","678","270","57","53750","1356","1.0243362831858407"
"243",Census Tract 2105.02,"240","760","428","59","65528","1487","1.2057834566240753"
"244",Census Tract 2106.01,"204","535","329","67","83571","1135","1.2281938325991189"
"245",Census Tract 2106.02,"269","607","438","143","81856","1457","1.3122855181880577"
"246",Census Tract 2107,"211","714","391","88","79125","1404","1.2535612535612537"
"247",Census Tract 2108,"56","262","69","34","64671","421","1.1923990498812351"
"248",Census Tract 2109,"91","679","491","75","90750","1336","1.4116766467065869"
"249",Census Tract 2203,"67","524","264","43","121908","898","1.3151447661469933"
"250",Census Tract 2204,"186","512","357","60","125625","1115","1.2609865470852017"
"251",Census Tract 2205,"273","721","200","14","101304","1208","0.9627483443708609"
"252",Census Tract 2206.01,"163","284","211","54","100417","712","1.2191011235955056"
"253",Census Tract 2206.02,"1131","1199","250","72","87024","2652","0.7220965309200603"
"254",Census Tract 2207.01,"218","542","250","97","67689","1107","1.2041553748870821"
"255",Census Tract 2207.02,"196","925","258","194","66402","1573","1.2860775588048314"
"256",Census Tract 2209.01,"203","559","75","165","46326","1002","1.2015968063872255"
"257",Census Tract 2209.02,"108","434","324","105","63365","971","1.438722966014418"
"258",Census Tract 2210,"265","453","227","124","87843","1069","1.19644527595884"
"259",Census Tract 2211,"596","1059","276","64","87875","1995","0.9037593984962407"
"260",Census Tract 2212,"321","527","344","61","119464","1253","1.1157222665602553"
"261",Census Tract 2213,"522","594","261","69","95781","1446","0.9149377593360996"
"262",Census Tract 2214,"519","657","273","23","153500","1472","0.8641304347826086"
"263",Census Tract 2215,"404","660","224","69","91058","1357","0.9690493736182756"
"264",Census Tract 2216,"179","712","443","61","178849","1395","1.2767025089605735"
"266",Census Tract 2225,"57","235","170","97","98750","559","1.549194991055456"
"267",Census Tract 2226,"173","402","166","12","100385","753","1.0225763612217795"
